POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,buffer 3a_OPERACION,buffer 3a_TIPO,buffer 3a_LATITUD,buffer 3a_LONGITUD,buffer 3a_M2TOTAL,buffer 3a_PRECIOUSD,buffer 3a_BARRIO,buffer 3a_COMUNA,Matrix_distancia_f_TargetID,Matrix_distancia_f_Distance,Matrix_distancia_f_buffer 3a_OPERACION,Matrix_distancia_f_buffer 3a_TIPO,Matrix_distancia_f_buffer 3a_LATITUD,Matrix_distancia_f_buffer 3a_LONGITUD,Matrix_distancia_f_buffer 3a_M2TOTAL,Matrix_distancia_f_buffer 3a_PRECIOUSD,Matrix_distancia_f_buffer 3a_BARRIO,Matrix_distancia_f_buffer 3a_COMUNA,Matrix_ distancia_S_TargetID,Matrix_ distancia_S_Distance,count_NUMPOINTS,Matriz_distancia_O_TargetID,Matriz_distancia_O_Distance
1,VTA,TERRENO,-34.6348665,-58.5237907,276,340000,LINIERS,9,VTA,TERRENO,-34.6348665,-58.5237907,276,340000,LINIERS,9,-58.5263409,502.192335231015,VTA,TERRENO,-34.6348665,-58.5237907,276,340000,LINIERS,9,-58.4696396292247,4986.72766804466,284,Obelisco,13490.8012432846
2,VTA,TERRENO,-34.6510703,-58.5177768,388,397000,LINIERS,9,VTA,TERRENO,-34.6510703,-58.5177768,388,397000,LINIERS,9,-58.5263409,1564.42005136512,VTA,TERRENO,-34.6510703,-58.5177768,388,397000,LINIERS,9,-58.4696396292247,4957.98741482073,204,Obelisco,13547.8011696241
3,VTA,TERRENO,-34.6435517,-58.5066479,379,420000,LINIERS,9,VTA,TERRENO,-34.6435517,-58.5066479,379,420000,LINIERS,9,-58.5021311,909.791858657279,VTA,TERRENO,-34.6435517,-58.5066479,379,420000,LINIERS,9,-58.4696396292247,3680.29730453987,223,Obelisco,12289.8801964393
4,VTA,TERRENO,-34.6261057,-58.4958082,478,590000,VELEZ SARSFIELD,10,VTA,TERRENO,-34.6261057,-58.4958082,478,590000,VELEZ SARSFIELD,10,-58.5021311,1265.86071404013,VTA,TERRENO,-34.6261057,-58.4958082,478,590000,VELEZ SARSFIELD,10,-58.4696396292247,2453.3207063209,246,Obelisco,10765.4806952719
5,VTA,TERRENO,-34.6367383,-58.4723095,2353,950000,FLORESTA,10,VTA,TERRENO,-34.6367383,-58.4723095,2353,950000,FLORESTA,10,-58.4808913,923.810096409415,VTA,TERRENO,-34.6367383,-58.4723095,2353,950000,FLORESTA,10,-58.4696396292247,712.446770512751,443,Obelisco,9090.05348818005
6,VTA,TERRENO,-34.6291887,-58.4668975,854,2200000,FLORES NORTE,7,VTA,TERRENO,-34.6291887,-58.4668975,854,2200000,FLORES NORTE,7,-58.4661766,162.51500787066,VTA,TERRENO,-34.6291887,-58.4668975,854,2200000,FLORES NORTE,7,-58.4696396292247,302.650147797967,1076,Obelisco,8317.99871740623
7,VTA,TERRENO,-34.6296591,-58.4590888,121,385000,FLORES NORTE,7,VTA,TERRENO,-34.6296591,-58.4590888,121,385000,FLORES NORTE,7,-58.4661766,680.207366716545,VTA,TERRENO,-34.6296591,-58.4590888,121,385000,FLORES NORTE,7,-58.4567097975238,397.233815536259,1026,Obelisco,7667.6963363023
8,VTA,TERRENO,-34.6246791,-58.4432844,630,1900000,CABALLITO,6,VTA,TERRENO,-34.6246791,-58.4432844,630,1900000,CABALLITO,6,-58.4436522,603.856117731542,VTA,TERRENO,-34.6246791,-58.4432844,630,1900000,CABALLITO,6,-58.4486476540264,508.110251295538,673,Obelisco,6117.09886710845
9,VTA,TERRENO,-34.6226835,-58.4276461,392,2000000,BOEDO,5,VTA,TERRENO,-34.6226835,-58.4276461,392,2000000,BOEDO,5,-58.4436522,1516.64773650968,VTA,TERRENO,-34.6226835,-58.4276461,392,2000000,BOEDO,5,-58.4267890228972,486.946057528309,585,Obelisco,4718.6593580045
10,VTA,TERRENO,-34.6236341,-58.4247092,191,400000,BOEDO,5,VTA,TERRENO,-34.6236341,-58.4247092,191,400000,BOEDO,5,-58.4436522,1804.16575295869,VTA,TERRENO,-34.6236341,-58.4247092,191,400000,BOEDO,5,-58.4267890228972,420.810657599728,608,Obelisco,4529.61275345298
11,VTA,TERRENO,-34.6517902,-58.4190364,178,125000,NUEVA POMPEYA,4,VTA,TERRENO,-34.6517902,-58.4190364,178,125000,NUEVA POMPEYA,4,-58.4199555,416.288343202091,VTA,TERRENO,-34.6517902,-58.4190364,178,125000,NUEVA POMPEYA,4,-58.4123851512005,1316.85550537413,497,Obelisco,6342.25647337489
12,VTA,TERRENO,-34.6401549,-58.4148721,356,420000,NUEVA POMPEYA,4,VTA,TERRENO,-34.6401549,-58.4148721,356,420000,NUEVA POMPEYA,4,-58.4199555,998.516986599767,VTA,TERRENO,-34.6401549,-58.4148721,356,420000,NUEVA POMPEYA,4,-58.4123851512005,259.355006977937,390,Obelisco,5064.52706875791
13,VTA,TERRENO,-34.6267207,-58.3958623,196,290000,SAN CRISTOBAL,3,VTA,TERRENO,-34.6267207,-58.3958623,196,290000,SAN CRISTOBAL,3,-58.3805834,1452.39687905774,VTA,TERRENO,-34.6267207,-58.3958623,196,290000,SAN CRISTOBAL,3,-58.3970680746626,415.544571786028,546,Obelisco,2867.43284340769
14,VTA,TERRENO,-34.6400235,-58.380202,224,280000,BARRACAS ESTE,4,VTA,TERRENO,-34.6400235,-58.380202,224,280000,BARRACAS ESTE,4,-58.3805834,1093.54670247855,VTA,TERRENO,-34.6400235,-58.380202,224,280000,BARRACAS ESTE,4,-58.3814344339343,1380.66160408539,235,Obelisco,4029.07532216653
15,VTA,TERRENO,-34.6504799,-58.4708227,600,630000,PARQUE AVELLANEDA,9,VTA,TERRENO,-34.6504799,-58.4708227,600,630000,PARQUE AVELLANEDA,9,-58.4808913,2210.39027587632,VTA,TERRENO,-34.6504799,-58.4708227,600,630000,PARQUE AVELLANEDA,9,-58.4616517616898,1157.22379756955,212,Obelisco,9688.05308960776
16,VTA,TERRENO,-34.6354679,-58.5291461,172,250000,LINIERS,9,VTA,TERRENO,-34.6354679,-58.5291461,172,250000,LINIERS,9,-58.5263409,456.975884664012,VTA,TERRENO,-34.6354679,-58.5291461,172,250000,LINIERS,9,-58.4696396292247,5481.87338861014,354,Obelisco,13982.7329927239
17,VTA,TERRENO,-34.6142229,-58.5291184,150,210000,VILLA REAL,10,VTA,TERRENO,-34.6142229,-58.5291184,150,210000,VILLA REAL,10,-58.5274629,1237.34088927163,VTA,TERRENO,-34.6142229,-58.5291184,150,210000,VILLA REAL,10,-58.4696396292247,5752.89892687525,181,Obelisco,13581.2163464898
18,VTA,TERRENO,-34.6180411,-58.5281749,120,165000,VILLA REAL,10,VTA,TERRENO,-34.6180411,-58.5281749,120,165000,VILLA REAL,10,-58.5274629,1652.84569254726,VTA,TERRENO,-34.6180411,-58.5281749,120,165000,VILLA REAL,10,-58.4696396292247,5548.73085369063,161,Obelisco,13537.8344823714
19,VTA,TERRENO,-34.6167463,-58.5277427,300,180000,VILLA REAL,10,VTA,TERRENO,-34.6167463,-58.5277427,300,180000,VILLA REAL,10,-58.5274629,1508.13668452887,VTA,TERRENO,-34.6167463,-58.5277427,300,180000,VILLA REAL,10,-58.4696396292247,5548.80148390965,191,Obelisco,13482.4237022202
20,VTA,TERRENO,-34.6458032,-58.5276253,245,295000,LINIERS,9,VTA,TERRENO,-34.6458032,-58.5276253,245,295000,LINIERS,9,-58.5263409,777.783384108806,VTA,TERRENO,-34.6458032,-58.5276253,245,295000,LINIERS,9,-58.4696396292247,5574.11099136954,208,Obelisco,14182.0110626051
21,VTA,TERRENO,-34.6231052,-58.5276167,196,390000,VILLA REAL,10,VTA,TERRENO,-34.6231052,-58.5276167,196,390000,VILLA REAL,10,-58.5263409,1753.06794744659,VTA,TERRENO,-34.6231052,-58.5276167,196,390000,VILLA REAL,10,-58.4696396292247,5382.99799865187,132,Obelisco,13564.2324021351
22,VTA,TERRENO,-34.6483824,-58.5272529,238,230000,LINIERS,9,VTA,TERRENO,-34.6483824,-58.5272529,238,230000,LINIERS,9,-58.5263409,1058.24695721958,VTA,TERRENO,-34.6483824,-58.5272529,238,230000,LINIERS,9,-58.4696396292247,5634.54811502322,127,Obelisco,14246.5310300204
23,VTA,TERRENO,-34.611725,-58.527252,279,440000,VILLA DEVOTO SUR,11,VTA,TERRENO,-34.611725,-58.527252,279,440000,VILLA DEVOTO SUR,11,-58.5274629,951.084562894462,VTA,TERRENO,-34.611725,-58.527252,279,440000,VILLA DEVOTO SUR,11,-58.4863853478891,5592.32573038271,210,Obelisco,13389.6441729061
24,VTA,TERRENO,-34.6484188,-58.5272507,238,238000,LINIERS,9,VTA,TERRENO,-34.6484188,-58.5272507,238,238000,LINIERS,9,-58.5263409,1062.2565251342,VTA,TERRENO,-34.6484188,-58.5272507,238,238000,LINIERS,9,-58.4696396292247,5635.76445287176,128,Obelisco,14247.7439128654
25,VTA,TERRENO,-34.651434,-58.526976,147,199000,LINIERS,9,VTA,TERRENO,-34.651434,-58.526976,147,199000,LINIERS,9,-58.5263409,1394.6812203336,VTA,TERRENO,-34.651434,-58.526976,147,199000,LINIERS,9,-58.4696396292247,5737.74419715543,107,Obelisco,14343.9323556458
26,VTA,TERRENO,-34.6304039,-58.5268168,210,285000,VERSALLES,10,VTA,TERRENO,-34.6304039,-58.5268168,210,285000,VERSALLES,10,-58.5263409,940.500902111712,VTA,TERRENO,-34.6304039,-58.5268168,210,285000,VERSALLES,10,-58.4696396292247,5243.05809653275,145,Obelisco,13643.7072142807
27,VTA,TERRENO,-34.6192592,-58.5267601,150,215000,VILLA REAL,10,VTA,TERRENO,-34.6192592,-58.5267601,150,215000,VILLA REAL,10,-58.5274629,1787.84573748987,VTA,TERRENO,-34.6192592,-58.5267601,150,215000,VILLA REAL,10,-58.4696396292247,5389.85102500038,185,Obelisco,13425.5583469088
