POLY_ID,OPERACION,TIPO,LATITUD,LONGITUD,M2TOTAL,PRECIOUSD,BARRIO,COMUNA,ln_preciousd,ln_m2total,residuos_mod1
1,VTA,TERRENO,-34.6348665,-58.5237907,276,340000,LINIERS,9,12.736700896592344,5.62040086571715,-0.045083814124504205
2,VTA,TERRENO,-34.6510703,-58.5177768,388,397000,LINIERS,9,12.891691559669328,5.961005339623274,-0.09006510013648239
3,VTA,TERRENO,-34.6435517,-58.5066479,379,420000,LINIERS,9,12.948009990259552,5.937536205082426,-0.019967729640080065
4,VTA,TERRENO,-34.6261057,-58.4958082,478,590000,VELEZ SARSFIELD,10,13.287877815881902,6.169610732491456,0.13119930933419582
5,VTA,TERRENO,-34.6367383,-58.4723095,2353,950000,FLORESTA,10,13.764217263576723,7.763446388727362,-0.6381875393679475
6,VTA,TERRENO,-34.6291887,-58.4668975,854,2200000,FLORES NORTE,7,14.603967918328545,6.74993119378857,0.5266278870118856
7,VTA,TERRENO,-34.6296591,-58.4590888,121,385000,FLORES NORTE,7,12.86099861326992,4.795790545596741,-0.06904787330032464
8,VTA,TERRENO,-34.6246791,-58.4432844,630,1900000,CABALLITO,6,14.457364444136669,6.4457198193855785,0.5157861502356783
9,VTA,TERRENO,-34.6226835,-58.4276461,392,2000000,BOEDO,5,14.508657738524219,5.971261839790462,1.185675784274871
10,VTA,TERRENO,-34.6236341,-58.4247092,191,400000,BOEDO,5,12.89921982609012,5.25227342804663,-0.001637567010363044
11,VTA,TERRENO,-34.6517902,-58.4190364,178,125000,NUEVA POMPEYA,4,11.736069016284437,5.181783550292085,-0.5758894148179238
12,VTA,TERRENO,-34.6401549,-58.4148721,356,420000,NUEVA POMPEYA,4,12.948009990259552,5.87493073085203,0.22909861718169194
13,VTA,TERRENO,-34.6267207,-58.3958623,196,290000,SAN CRISTOBAL,3,12.577636201962656,5.278114659230517,-0.2957756019315853
14,VTA,TERRENO,-34.6400235,-58.380202,224,280000,BARRACAS ESTE,4,12.542544882151386,5.4116460518550396,-0.31676415958400067
15,VTA,TERRENO,-34.6504799,-58.4708227,600,630000,PARQUE AVELLANEDA,9,13.353475098367715,6.396929655216146,0.11105194178032803
16,VTA,TERRENO,-34.6354679,-58.5291461,172,250000,LINIERS,9,12.429216196844383,5.147494476813453,-0.07492092091538982
17,VTA,TERRENO,-34.6142229,-58.5291184,150,210000,VILLA REAL,10,12.254862809699606,5.0106352940962555,-0.09271603885717783
18,VTA,TERRENO,-34.6180411,-58.5281749,120,165000,VILLA REAL,10,12.013700752882718,4.787491742782046,-0.20286851035509146
19,VTA,TERRENO,-34.6167463,-58.5277427,300,180000,VILLA REAL,10,12.100712129872347,5.703782474656201,-0.653819660659931
20,VTA,TERRENO,-34.6458032,-58.5276253,245,295000,LINIERS,9,12.594730635321957,5.501258210544727,-0.11710435129429547
21,VTA,TERRENO,-34.6231052,-58.5276167,196,390000,VILLA REAL,10,12.873902018105829,5.278114659230517,0.36928362930133946
22,VTA,TERRENO,-34.6483824,-58.5272529,238,230000,LINIERS,9,12.345834587905333,5.472270673671475,-0.3489815551780576
23,VTA,TERRENO,-34.611725,-58.527252,279,440000,VILLA DEVOTO SUR,11,12.994530005894443,5.631211781821365,-0.1383545314695127
24,VTA,TERRENO,-34.6484188,-58.5272507,238,238000,LINIERS,9,12.380025952653611,5.472270673671475,-0.3147901904298112
25,VTA,TERRENO,-34.651434,-58.526976,147,199000,LINIERS,9,12.201060103706629,4.990432586778736,-0.2108645662289739
